mA          br
300         0.0067511
325         0.0066515
350         0.0049721
375         0.003871
400         0.0034604
425         0.0032124
450         0.0030369
475         0.0028988
500         0.0027776
525         0.0026749
550         0.0025815
575         0.0024926
600         0.0024096
625         0.002329
650         0.00225
675         0.0021741
700         0.0020967
725         0.0020232
750         0.0019509
775         0.0018787
800         0.0018074
825         0.0017384
850         0.0016708
875         0.0016035
900         0.0015352
925         0.0014707
950         0.0014057
975         0.0013418
1000         0.0012782
