mA          br
300         0.0086088
325         0.0084736
350         0.0063247
400         0.0043882
425         0.0040674
450         0.0038365
475         0.0036517
550         0.003232
575         0.0031155
600         0.003003
625         0.0028929
650         0.0027872
675         0.002689
700         0.0025814
725         0.002482
775         0.0022889
800         0.0021956
825         0.0021025
850         0.00201
875         0.0019193
900         0.0018298
925         0.0017453
950         0.0016588
975         0.0015734
1000         0.0014896
