mA          br
300         0.14805
325         0.13976
350         0.099019
375         0.072305
400         0.060508
425         0.052383
450         0.045861
475         0.040307
500         0.035347
525         0.030838
550         0.026721
575         0.022979
600         0.019535
625         0.016414
650         0.013606
675         0.011085
700         0.0088402
725         0.0069132
750         0.0052807
775         0.0039231
800         0.0028349
825         0.0020042
850         0.0014042
875         0.0010006
900         0.00074216
925         0.000572
950         0.00045695
975         0.00037316
1000         0.0003108
