mA          br
300         0.005322
325         0.0052481
350         0.0039275
375         0.0030618
400         0.0027413
425         0.0025494
450         0.0024119
475         0.0023053
500         0.0022165
525         0.0021362
550         0.0020652
575         0.0019997
600         0.0019371
625         0.0018767
650         0.0018185
675         0.0017617
700         0.0017018
725         0.0016476
750         0.0015936
775         0.0015405
800         0.0014879
825         0.0014355
850         0.0013837
875         0.0013323
900         0.001282
925         0.0012338
950         0.0011833
975         0.0011337
1000         0.001086
