mA          br
300         0.049504
325         0.047994
350         0.035144
375         0.026676
400         0.023289
425         0.021081
450         0.019346
475         0.017912
500         0.016641
525         0.015482
550         0.014411
575         0.013392
600         0.012423
650         0.010599
675         0.0097453
700         0.0088959
725         0.0081008
750         0.0073428
775         0.0066226
800         0.0059368
825         0.0052915
850         0.004683
875         0.0041136
900         0.0035882
925         0.0030995
950         0.0026544
975         0.0022523
