mA          br
300         0.42995
325         0.35888
350         0.21679
375         0.13124
400         0.088348
425         0.058835
450         0.037297
475         0.021889
500         0.011772
525         0.006217
550         0.0037035
600         0.0017831
625         0.0013379
650         0.0010385
675         0.00082273
700         0.00066366
725         0.00054328
750         0.00045039
775         0.00037734
800         0.0003191
825         0.0002726
850         0.00023412
875         0.00020175
900         0.00017555
925         0.00015318
950         0.00013446
975         0.00011834
1000         0.00010486
