mA          br
300         0.0076181
325         0.0075023
350         0.0056047
375         0.0043598
400         0.0038946
425         0.0036124
450         0.0034119
475         0.0032526
500         0.0031154
525         0.0029959
550         0.002888
575         0.002786
600         0.00269
625         0.0025942
650         0.0025054
675         0.0024174
700         0.0023258
725         0.0022414
750         0.0021584
775         0.002074
800         0.0019932
825         0.001913
850         0.0018338
875         0.0017551
900         0.0016774
925         0.0016034
950         0.0015289
975         0.0014549
1000         0.0013817
