mA          br
300         0.0097436
325         0.0095835
350         0.007148
375         0.0055518
400         0.0049495
425         0.004584
450         0.0043222
475         0.0041059
500         0.0039277
550         0.003621
575         0.0034847
600         0.0033527
625         0.0032269
650         0.0031054
675         0.0029861
700         0.0028635
750         0.0026346
800         0.0024172
850         0.0022002
875         0.0020954
925         0.0018916
975         0.0016969
1000         0.0016005
