mA          br
300         0.0029963
325         0.0029604
350         0.0022208
375         0.0017349
400         0.0015588
425         0.0014538
450         0.00138
475         0.0013223
500         0.0012758
525         0.0012353
550         0.0011988
600         0.0011333
625         0.001103
650         0.0010738
675         0.0010462
700         0.0010159
725         0.00098844
750         0.00096119
775         0.00093429
800         0.00090854
825         0.00088249
850         0.00085666
875         0.0008309
900         0.00080512
925         0.00077918
950         0.00075431
975         0.00072963
1000         0.00070515
