mA          br
325         0.055555
350         0.040574
400         0.026705
425         0.024071
450         0.022015
500         0.018769
525         0.017365
550         0.016073
575         0.014853
600         0.013686
650         0.011506
700         0.0094849
725         0.0085555
750         0.0076716
775         0.0068383
800         0.0060518
825         0.0053177
850         0.0046344
875         0.0040045
900         0.0034239
925         0.0029011
975         0.0020063
1000         0.0016363
