mA          br
300         0.28501
325         0.25825
350         0.17362
375         0.11941
400         0.093566
425         0.075037
450         0.060348
475         0.048085
500         0.037633
525         0.02881
550         0.021359
575         0.015244
600         0.010378
625         0.0067201
650         0.0041856
675         0.002637
700         0.0017776
725         0.0012865
750         0.00097477
775         0.00076629
800         0.00061549
825         0.00050365
850         0.00041794
875         0.00035147
900         0.00029816
925         0.00025518
950         0.00021988
975         0.00019095
1000         0.00016686
