mA          br
300         0.46204
325         0.36253
350         0.2028
375         0.11102
400         0.065284
425         0.036079
450         0.017931
475         0.00858
500         0.0047973
525         0.003107
550         0.0021784
575         0.0016071
625         0.00095748
650         0.00076419
675         0.00061953
700         0.00050836
725         0.00042262
750         0.00035459
775         0.00030004
800         0.00025576
825         0.00021961
850         0.0001894
875         0.00016457
900         0.00014338
925         0.00012564
950         0.00011062
1000         8.6647e-05
