mA          br
300         0.0042143
325         0.0041606
375         0.0024319
400         0.0021809
425         0.0020305
450         0.0019241
500         0.0017723
525         0.0017123
550         0.0016577
575         0.0016076
600         0.0015606
625         0.0015152
650         0.0014714
675         0.0014282
700         0.0013834
725         0.0013423
750         0.0013017
800         0.0012219
825         0.0011828
850         0.0011431
875         0.0011032
900         0.0010653
925         0.001028
950         0.00099079
975         0.00095419
1000         0.00091592
