mA          br
300         0.014258
350         0.010412
375         0.0080551
400         0.0071611
450         0.0062008
475         0.0058752
500         0.0055939
525         0.0053426
550         0.0051094
575         0.0048904
600         0.0046816
650         0.0042862
675         0.0040952
700         0.0039024
750         0.0035389
775         0.0033639
800         0.0031906
850         0.0028556
875         0.0026931
925         0.0023763
950         0.0022242
975         0.0020804
1000         0.0019338
