mA          br
300         0.24262
325         0.22303
350         0.15262
375         0.10713
400         0.085944
425         0.070912
450         0.058802
475         0.048548
500         0.039697
525         0.031985
550         0.025245
575         0.019453
600         0.014549
625         0.010495
650         0.0072664
675         0.0048222
700         0.0031077
725         0.0020359
750         0.0014158
775         0.0010431
800         0.00080233
825         0.00063749
850         0.00051733
875         0.0004265
900         0.00035665
925         0.00030164
950         0.00025804
975         0.00022223
1000         0.00019272
