mA          br
300         0.0033537
325         0.0033128
350         0.0024839
375         0.0019395
400         0.0017419
425         0.0016234
450         0.0015402
475         0.0014754
525         0.0013759
550         0.0013347
575         0.001296
600         0.00126
625         0.0012256
650         0.0011923
675         0.00116
700         0.0011253
725         0.0010943
750         0.0010636
775         0.0010321
825         0.00097275
850         0.00094329
875         0.00091395
900         0.00088396
925         0.00085527
975         0.00079845
1000         0.00077032
