mA          br
300         0.12575
325         0.11948
350         0.085246
375         0.062808
400         0.053031
425         0.046377
450         0.041058
475         0.036494
500         0.032455
525         0.028764
550         0.025349
575         0.022211
600         0.01931
625         0.016624
650         0.014165
675         0.011927
700         0.0098776
725         0.0080668
750         0.0064682
775         0.0050823
800         0.0039038
825         0.0029296
850         0.0021445
875         0.0015426
900         0.0011042
925         0.00080481
950         0.00060614
975         0.00047374
1000         0.00038168
