mA          br
300         0.0026796
325         0.0026486
350         0.0019872
375         0.0015532
400         0.0013959
425         0.0013029
450         0.0012372
475         0.0011867
500         0.0011448
525         0.0011092
575         0.001047
600         0.0010196
625         0.00099294
650         0.00096771
675         0.00094304
700         0.00091694
750         0.00086927
775         0.00084611
800         0.00082274
825         0.0008006
850         0.00077789
875         0.000755
900         0.00073307
925         0.00071015
950         0.00068779
975         0.00066594
1000         0.00064484
