mA          br
300         0.0047327
325         0.0046704
350         0.0034961
375         0.0027273
400         0.0024439
425         0.0022741
450         0.0021534
475         0.0020599
500         0.0019797
525         0.001911
550         0.0018506
575         0.0017925
600         0.0017377
625         0.0016863
650         0.001636
675         0.0015857
700         0.0015343
725         0.0014859
750         0.0014406
775         0.0013943
800         0.0013485
825         0.0013028
850         0.0012569
875         0.0012132
900         0.0011685
925         0.0011262
975         0.0010408
1000         0.00099818
