mA          br
300         0.38276
325         0.33159
350         0.21079
375         0.13521
400         0.097982
425         0.071675
450         0.051389
475         0.035522
500         0.023234
525         0.014184
575         0.004592
600         0.0028794
625         0.0019863
650         0.0014577
675         0.0011123
700         0.00087323
725         0.00070093
750         0.0005711
775         0.00047202
800         0.00039509
825         0.0003336
850         0.00028404
875         0.00024357
900         0.00021074
925         0.00018302
950         0.00015983
975         0.00014031
1000         0.00012373
