mA          br
300         0.0037573
325         0.003711
350         0.0027808
375         0.0021706
400         0.0019482
425         0.0018152
450         0.0017207
475         0.0016475
500         0.0015876
525         0.0015352
550         0.0014865
575         0.0014433
600         0.001402
625         0.0013622
650         0.0013245
675         0.0012874
700         0.0012475
725         0.0012115
750         0.0011756
775         0.0011415
800         0.0011067
825         0.0010726
850         0.001039
875         0.0010045
900         0.00097074
925         0.00093786
950         0.00090549
975         0.00087296
1000         0.00084018
