mA          br
300         0.1746
325         0.1636
350         0.1149
375         0.082992
400         0.068728
425         0.058734
450         0.050764
475         0.043896
500         0.037833
525         0.03237
550         0.027449
575         0.022991
600         0.019019
625         0.015454
650         0.012317
675         0.0095908
700         0.0072532
725         0.0053418
750         0.0038072
775         0.0026386
800         0.0018055
825         0.0012563
850         0.00091555
875         0.00069598
900         0.00054897
925         0.00044416
950         0.00036689
975         0.00030717
1000         0.0002604
