mA          br
300         0.091254
325         0.087472
350         0.063148
375         0.047156
400         0.040404
425         0.035833
450         0.032271
475         0.029198
500         0.026487
525         0.024018
550         0.021712
575         0.019554
600         0.017516
625         0.015602
650         0.013809
675         0.012125
700         0.010526
725         0.0090893
750         0.0077611
775         0.0065468
800         0.0054502
825         0.0044671
850         0.0036075
875         0.0028607
900         0.0022269
925         0.0016996
950         0.0012752
975         0.00094659
1000         0.00070339
