mA          br
300         0.20582
325         0.19137
350         0.13283
375         0.094681
400         0.077407
425         0.065154
450         0.055282
475         0.046834
500         0.039474
525         0.032929
550         0.027112
575         0.021955
600         0.017433
625         0.013506
650         0.01017
675         0.0074152
700         0.0052032
725         0.0035317
750         0.0023508
775         0.0015908
800         0.0011336
825         0.00085017
850         0.00066201
875         0.00053177
900         0.00043467
925         0.00036216
950         0.00030471
975         0.0002592
1000         0.00022289
