mA          br
300         0.00599
325         0.0059048
375         0.0034403
400         0.003079
450         0.002705
475         0.0025827
500         0.0024795
525         0.0023894
550         0.0023081
575         0.0022317
600         0.0021605
625         0.0020907
650         0.0020221
675         0.0019575
700         0.0018875
750         0.0017639
775         0.0017024
800         0.0016403
825         0.0015791
850         0.0015209
875         0.0014627
900         0.0014041
925         0.0013476
950         0.0012901
975         0.0012345
1000         0.0011796
