mA          br
300         0.33249
325         0.29582
350         0.19419
375         0.12973
400         0.098413
425         0.076072
450         0.058549
475         0.044147
500         0.032372
525         0.022789
550         0.015245
575         0.0096011
600         0.0057431
625         0.0034566
650         0.0022545
675         0.0015953
700         0.0011907
725         0.00092087
750         0.00073308
775         0.00059433
800         0.00048894
825         0.00040796
850         0.00034418
875         0.00029244
900         0.00025059
925         0.00021641
950         0.00018808
975         0.00016436
1000         0.00014408
