mA          br
300         0.10704
325         0.10215
350         0.073291
375         0.054447
400         0.046335
425         0.040818
450         0.036437
475         0.032757
500         0.02945
525         0.026426
550         0.023625
575         0.021004
600         0.018574
625         0.016296
650         0.014183
675         0.012227
700         0.010407
725         0.0087702
750         0.007291
775         0.0059682
800         0.0048031
825         0.0037891
850         0.0029285
875         0.0022186
900         0.0016433
925         0.0012012
950         0.00087685
975         0.00065179
1000         0.00049841
